lon,lat
73.07487488,31.38999939
74.08699036,31.88163757
73.07624817,31.39549255
73.0721283,31.38313293
73.08036804,31.4188385
73.08174133,31.4188385
73.07899475,31.42295837
73.07624817,31.39549255
73.08311462,31.4188385
73.08036804,31.4188385
73.15452576,31.45317078
73.1803,33.533053
73.1627655,31.45591736
73.08998108,31.42433167
67.0337677,24.88471985
74.061813,31.793289
74.03617859,31.80473328
74.07051086,31.8624115
73.050842,31.404076
73.06938171,31.39823914
73.072128,31.374207
74.06776428,31.82807922
73.07487488,31.39686584
73.06388855,31.42158508
74.08836365,31.79786682
73.03504944,31.40098572
71.26625061,29.13780212
74.42070007,31.59049988
73.172215,33.526121
68.852005,27.6889801
68.852005,27.6889801
68.852005,27.6889801
68.852005,27.6889801
74.31221008,31.52870178
74.312075,31.528352
74.307472,31.527466
74.301596,31.525297
74.29710388,31.52183533
74.29710388,31.52183533
74.296646,31.521835
74.29710388,31.52183533
71.391844,30.106472
71.395929,30.109308
71.403122,30.10849
71.446609,30.123711
72.440709,34.927989
67.04200745,24.88471985
74.41795349,31.47789001
73.050025,31.409814
74.417953,31.477814
73.774303,31.555953
73.963791,31.676783
73.995666,31.68457
74.026056,31.696355
74.095981,31.676573
74.188638,31.641889
74.23942566,31.62208557
74.41795349,31.47789001
70.646982,30.055246
70.646409,30.055382
74.271011,31.517887
74.27101135,31.51771545
70.67710876,29.78050232
70.63385,30.062199
70.645294,30.05127
70.643757,30.049079
70.643151,30.043925
70.641747,30.039024
70.6414032,30.03593445
70.641403,30.034103
70.641403,30.033531
70.64689636,30.05516052
70.64689636,30.05516052
70.64689636,30.05516052
70.640646,30.055441
70.64003,30.055504
70.642468,30.05914
70.627687,30.037291
70.629272,30.034561
70.629278,30.033925
70.630134,30.03242
70.626039,30.042143
70.629534,30.047509
70.630523,30.051358
70.631161,30.053215
70.63715,30.052104
70.637872,30.052022
70.640373,30.052414
70.640202,30.053272
70.646535,30.058269
70.6414032,30.06202698
70.624008,30.048523
70.62561,30.053329
70.629338,30.02691
70.62841,30.024737
70.625512,30.02382
70.624466,30.024948
68.755875,27.532082
68.755875,27.532033
69.7240448,25.34751892
69.739837,25.34958
73.96843,31.715012
74.523937,32.475208
74.523582,32.4757
74.53434,32.488289
74.5236969,32.47489929
72.25364685,30.05653381
72.25364685,30.05653381
73.86177063,32.81410217
74.24047,31.469882
74.242389,31.470373
67.060841,24.828807
67.06192,24.830647
73.050156,33.695068
74.380875,31.478282
74.380188,31.478577
73.71482849,32.07389832
70.12825,28.309708
73.13529968,29.61021423
73.24790955,29.98924255
73.27125549,30.00846863
73.265075,30.002976
73.24790955,29.98924255
73.248204,29.989488
73.25889587,30.00022888
73.255463,29.994736
73.10646057,31.4037323
73.248459,30.001328
73.085129,33.663071
73.090439,33.663254
73.090839,33.659706
73.096676,33.656445
73.102466,33.644818
73.103256,33.642654
73.107834,33.636856
73.112717,33.637314
73.112953,33.628963
73.116074,33.622971
73.11882,33.623245
73.124117,33.613652
73.131454,33.60347
73.128531,33.603254
73.125687,33.59884
73.12088,33.605804
73.106735,33.606263
73.145849,33.523782
73.143539,33.524192
73.139616,33.531353
73.169381,33.527465
73.144226,33.527699
73.127746,33.531098
73.127403,33.528901
73.11179,33.541233
73.108521,33.550873
73.103371,33.551903
73.096848,33.55666
73.092139,33.557837
73.094173,33.550114
73.087692,33.560257
73.084335,33.562851
73.07887,33.566791
73.073502,33.573966
73.068924,33.58017
73.067551,33.582916
73.067064,33.584948
73.072128,33.585434
73.075974,33.588913
73.078308,33.590012
73.078995,33.592954
73.081604,33.598526
73.08711,33.602995
73.083364,33.60749
73.082145,33.614569
73.08311462,33.620224
73.081192,33.622971
73.076859,33.626175
73.073072,33.630867
73.073502,33.633957
73.075047,33.639278
73.075699,33.641647
73.074188,33.640137
73.077347,33.644669
73.078537,33.647232
73.075999,33.65593
73.081284,33.652725
73.082886,33.656158
73.083507,33.657891
73.083572,33.662644
73.24790955,29.98924255
73.24790955,29.98924255
67.080116,24.905834
67.09899902,24.91424561
67.102466,24.914944
67.09899902,24.91424561
67.10243225,24.91493225
67.10243225,24.91493225
67.10243225,24.91493225
67.10257,24.914937
67.10243225,24.91493225
67.10243225,24.91493225
73.860123,32.815201
73.857193,32.817993
73.851533,32.823341
73.838699,32.829849
73.829008,32.834702
73.822251,32.846069
66.029434,29.55574
68.74351501,27.52006531
73.039169,33.6549
74.40422058,31.48750305
68.751755,25.443635
68.75175476,25.44364929
68.821995,25.486223
68.907366,25.503677
68.967361,25.512384
68.967558,25.512445
68.969009,25.51299
69.010392,25.49263
68.933323,25.510254
68.75175476,25.44364929
