FID,name,source,aeroway,lat,lon
0, , ,helipad,33.702012300000000,73.052922800000005
1, , ,helipad,33.705807600000000,73.053531699999994
2,Nur Khan Base, ,terminal,33.607356400000000,73.100737899999999
3, , ,helipad,33.730896999999999,73.100322700000007
4, , ,helipad,24.893037000000000,67.070548900000006
5,Chilas Azad Balawaristan Airport, ,aerodrome,35.426626200000001,74.086281499999998
6,Hajj Terminal, ,terminal,31.529136399999999,74.400374999999997
7,Belab, ,aerodrome,30.340030299999999,70.556703299999995
8,Chashma, ,aerodrome,32.424529800000002,71.458523099999994
9,Dhingar, ,aerodrome,29.923355900000001,66.746098900000007
10,Dera Ghazi Khan International Airport, ,aerodrome,29.961026199999999,70.485930499999995
11,Gurha Salim, ,aerodrome,32.878563700000001,73.605353199999996
12,Juzzak, ,aerodrome,29.041354800000001,61.647936899999998
13,Kandhkot, ,aerodrome,28.273474100000001,69.276498200000006
14,خانپُور, ,aerodrome,28.643077200000000,70.632507700000005
15,Khewra, ,aerodrome,32.629181000000003,73.022515400000003
16,Khorewah, ,aerodrome,24.787270899999999,68.557172499999993
17,Kot Addu, ,aerodrome,30.494907200000000,70.971155999999993
18,Mad Juma, ,aerodrome,28.356190000000002,70.600234599999993
19,منڈی بهاؤالدین, ,aerodrome,32.601424999999999,73.508420900000004
20,Mangla, ,aerodrome,33.050106300000003,73.638419499999998
21,Mianwali Air Base,ourairports.com,aerodrome,32.563098900000000,71.570701600000007
22,Minhas, ,aerodrome,33.870302199999998,72.400492099999994
23,Mir Baz, ,aerodrome,31.189576100000000,70.180038999999994
24,Nawabshah Airport,wikipedia,aerodrome,26.218726300000000,68.388573300000004
25,نوک کنڈی, ,aerodrome,28.819456299999999,62.730698900000000
26,Nushki, ,aerodrome,29.538808299999999,66.022802600000006
27,Ormara Airport,wikipedia,aerodrome,25.273399900000001,64.586974499999997
28,Sui Airport,wikipedia,aerodrome,28.645256600000000,69.176119299999996
29,Kohat Airbase,wikipedia,aerodrome,33.571376000000001,71.442711599999996
30,Zhob Airport,wikipedia,aerodrome,31.358300000000000,69.463600000000000
31,Parachinar Airport,wikipedia,aerodrome,33.902932399999997,70.072330899999997
32, , ,holding_position,31.536287999999999,74.405987300000007
33, , ,aerodrome,31.568204200000000,73.167226200000002
34,Bannu Airport,ourairports.com,aerodrome,32.972900400000000,70.527900700000004
35,Chandhar Airport,ourairports.com,aerodrome,32.077800799999999,73.790199299999998
36,Rajanpur Airport,ourairports.com,aerodrome,29.263999900000002,70.186401399999994
37,Thal Airport,ourairports.com,aerodrome,33.387599899999998,70.588798499999996
38,Kashmor Airport,ourairports.com,aerodrome,28.470600099999999,69.599098200000000
39,Robray Airport,ourairports.com,aerodrome,26.251899699999999,63.130298600000003
40,Pano Aqil Southeast Airport,ourairports.com,aerodrome,27.813100800000001,69.167098999999993
41,Chirat Airport,ourairports.com,aerodrome,33.968101500000003,71.967498800000001
42,Dalbandin Airport,ourairports.com,aerodrome,28.875939299999999,64.401426000000001
43,Dadu Airport,ourairports.com,aerodrome,26.554500600000001,67.674598700000004
44,Cape Monz Airport,ourairports.com,aerodrome,24.827932400000002,66.664428700000002
45,Chore Airport,ourairports.com,aerodrome,25.525999100000000,69.771797199999995
46,Gharo Airport,ourairports.com,aerodrome,24.729000100000000,67.587600699999996
47,Kalat Airport,ourairports.com,aerodrome,29.133333199999999,66.516670199999993
48,Kharan Airfield,ourairports.com,aerodrome,28.598033600000001,65.420972399999997
49,Loralai Airport,ourairports.com,aerodrome,30.355499300000002,68.613502499999996
50,Mirpur Khas Air Base,ourairports.com,aerodrome,25.682162600000002,69.072799700000004
51,Miran Shah Airport,ourairports.com,aerodrome,33.014701799999997,70.064399699999996
52,Sindhri Tharparkar Airport,ourairports.com,aerodrome,25.682977300000001,69.072712400000000
53,Pishin Airport,ourairports.com,aerodrome,30.556200000000000,66.985496499999996
54,Rafiqui Air Base,ourairports.com,aerodrome,30.758100500000001,72.282501199999999
55,Faisal Air Base,ourairports.com,aerodrome,24.874200800000001,67.118499799999995
56,Mushaf Air Base,ourairports.com,aerodrome,32.048599199999998,72.665000899999995
57,Sahiwal Airport,ourairports.com,aerodrome,31.888216300000000,72.310913200000002
58,Talhar Airport,ourairports.com,aerodrome,24.841499299999999,68.838401800000000
59,Taftan Airport,ourairports.com,aerodrome,28.964199099999998,61.595401799999998
60,Basal Airport,ourairports.com,aerodrome,33.529998800000001,72.260002099999994
61,Kharan East Airport,ourairports.com,aerodrome,28.619899700000001,65.466499299999995
62,Mari Indus East,ourairports.com,aerodrome,32.919998200000002,71.690002399999997
63,Wateji Air Strip,ourairports.com,aerodrome,24.865929200000000,67.410739899999996
64,Attock Airport,ourairports.com,aerodrome,33.913200400000001,72.293701200000001
65,Reko Diq Airport,ourairports.com,aerodrome,28.970800400000002,62.433300000000003
66,Siachen Glacier AFS Airport,ourairports.com,helipad,35.484285100000001,77.011533499999999
67,Dalbandin Heliport,ourairports.com,helipad,28.874793799999999,64.403936900000005
68,Korangi Creek Heliport,ourairports.com,helipad,24.782199899999998,67.136398299999996
69, , ,helipad,33.768892899999997,74.083359999999999
70,Air Movement Masroor, ,terminal,24.887861800000000,66.933497799999998
71,Firozpur Abandoned Airfield, ,aerodrome,30.895490500000001,74.582224699999998
72, , ,helipad,23.821149100000000,68.764397599999995
73, , ,helipad,23.830153299999999,68.733454699999996
74, , ,helipad,23.830457299999999,68.733941400000006
75, , ,helipad,27.867419900000002,70.566727900000004
76,HALIPAD KOTLI, ,helipad,33.514970599999998,73.897847200000001
77, , ,turning_circle,30.241142300000000,67.042737000000002
78, , ,turning_circle,30.241642800000001,67.041428100000005
79, , ,turning_circle,30.235988700000000,67.034218300000006
80, , ,helipad,32.265876100000000,69.894708100000003
81, , ,helipad,32.337777799999998,70.118605099999996
82, , ,helipad,32.363579600000001,70.112382299999993
83, , ,helipad,32.364005599999999,70.112055100000006
84, , ,helipad,25.188409700000001,64.666593399999996
85, , ,helipad,25.189505600000000,64.605140300000002
86,NDU Helipad, ,helipad,33.723679099999998,73.019710399999994
87,NDU Helipad, ,helipad,33.724517900000002,73.021142699999999
88,NDU Helipad, ,helipad,33.723870900000001,73.020155700000004
89,NDU Helipad, ,helipad,33.724013700000000,73.021335800000003
90, , ,helipad,33.160327500000001,74.234979800000005
91, , ,helipad,33.160458100000000,74.236057599999995
92, , ,helipad,33.736716199999996,72.860677499999994
93, , ,helipad,33.731895399999999,72.836583899999994
94, , ,helipad,33.732524800000000,72.837761799999996
