FID,Category,Name,District,Province,Latitude,Longitude
0,GENERAL PHYSICIAN,SHAEEN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.170730051400000,73.258977805900003
1,GENERAL PHYSICIAN,BANO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.169540169100003,73.259008387700007
2,GENERAL PHYSICIAN,MANGAL POLY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.157436589699998,73.263336374900007
3,GENERAL PHYSICIAN,NUSRAT MEHMOOD CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.147856873400002,73.262899274299997
4,GENERAL HOSPITALS,ALTAF HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145415322399998,73.218433999499993
5,GENERAL HOSPITALS,HIRA HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144376420400000,73.216190350199994
6,GENERAL PHYSICIAN,ROOHI TABSAMM CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146167087700000,73.215810703900004
7,GENERAL PHYSICIAN,NARGIS DANISH CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145849198900002,73.215654633000000
8,DENTAL CLINIC,SMILE DENTAL CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.149330792699999,73.212379115000005
9,GENERAL HOSPITALS,REHMAT MEMORIAL HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.170127419400004,73.225166487500005
10,GENERAL HOSPITALS,NARGIS ARIF HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.187399587000002,73.239249709000006
11,GENERAL HOSPITALS,JINNAH HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.187417518899998,73.238478338700006
12,GENERAL HOSPITALS,MARGIS ARIF HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.188140817099999,73.239340974699999
13,GENERAL HOSPITALS,ORUSH HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.194083911900002,73.235018763499994
14,GENERAL PHYSICIAN,RAHAT UN NISA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.196414320499997,73.236848170700000
15,GENERAL PHYSICIAN,ZAIN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145786552099999,73.219447140400007
16,MEDICAL STORES,SHAFIQ MEDICAL CENTER,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.196244405500003,73.236232466900006
17,GENERAL HOSPITALS,RUQIA HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.199133758599999,73.238737313599998
18,MEDICAL STORES,BURJ AL DAHAR MEDICAL CENTER,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.204394316100000,73.239774708200002
19,GENERAL HOSPITALS,AYUB MEDICAL COMPLEX,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203739458299999,73.233839388899995
20,GENERAL HOSPITALS,BACH CHRISTIAN HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.264378305900003,73.235358011800002
21,MEDICAL STORES,SHIFA HEALTH CENTER,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.150797011900003,73.311439006699999
22,HOMEOPATHIC,HOMEO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.128802968000002,73.341013624499993
23,GENERAL PHYSICIAN,MAJIDA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.140454793799996,73.232780723999994
24,GENERAL PHYSICIAN,BADAR CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.162489417899998,73.251243773599995
25,MEDICAL STORES,JINNAH PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.189040506399998,73.233692607899997
26,MEDICAL STORES,SHIFA PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202766753699997,73.239058700900003
27,MEDICAL STORES,AZEEM PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202946495500001,73.239197376199996
28,MEDICAL STORES,ABBOTT PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145996424700002,73.215513869199995
29,MEDICAL STORES,SAIF PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.147782639399999,73.212974020100006
30,MEDICAL STORES,MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.264305166600003,73.235883544299995
31,MEDICAL STORES,WASIF MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.157122917899997,73.238736469200006
32,MEDICAL STORES,SHAH MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146739347699999,73.221838661600003
33,MEDICAL STORES,ADIL MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145252045800000,73.219062835399995
34,MEDICAL STORES,HAZARA JANNAT MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144672663199998,73.216667481000002
35,MEDICAL STORES,BILAL MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146075962499999,73.215566647900005
36,MEDICAL STORES,ZARBAT MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146222950199999,73.215602763000007
37,GENERAL HOSPITALS,REHMAN HOSPITAL & ZERBAT MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144546096299997,73.211233944800000
38,MEDICAL STORES,JINNAHABAD MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.187588646700000,73.238775182099999
39,MEDICAL STORES,MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.197079272700002,73.245347723799995
40,MEDICAL STORES,AL-SADAAT MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.128041027000002,73.343126194500002
41,MEDICAL STORES,AL-SHAMS MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.027981402100004,73.108997462700003
42,MATERNITY HOME,NOOR-UL-HUDA MEDICAL CENTRE & MATERNITY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.982802449399998,73.399644770099997
43,MEDICAL STORES,SHAHID MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.966993682099996,73.389380224600004
44,MEDICAL STORES,ABBASI MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.965608013299999,73.388700635500001
45,GENERAL PHYSICIAN,KHALIDA PARVEEN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.305351327099999,73.313497557299996
46,GENERAL PHYSICIAN,SAKINA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.290451456800000,73.305490215399999
47,ROUTINE TEST LABORATORIES,ISLAMABAD CLINIC & LAB,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.063588519500001,73.490146579400005
48,GENERAL PHYSICIAN,AL-SHIFA FAMILY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.053629801699998,73.491200076900000
49,HOMEOPATHIC,AL-NOOR HOMEOPATHIC CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.046286702700002,73.492904512799996
50,GENERAL PHYSICIAN,SHAMA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.057799629599998,73.352414759799998
51,GENERAL PHYSICIAN,JADOON CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.117370641500003,73.357269633700000
52,GENERAL PHYSICIAN,AL-SHIFA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.128499059699998,73.346946100599993
53,GENERAL PHYSICIAN,SAIMA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.164430844999998,73.252252499999997
54,GENERAL PHYSICIAN,SIQA BANO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.164781737100000,73.252973887300001
55,GENERAL PHYSICIAN,LADY DR NADIA HAROON CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.157437696499997,73.238481702000001
56,DENTAL CLINIC,DENTAL HYGIENE CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.157111591099998,73.238324644299993
57,GENERAL PHYSICIAN,AL-ADAM MEDICAL CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.165690978500002,73.230913463999997
58,GENERAL PHYSICIAN,DR MOHAMMAD ASLAM KHAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.169520307600003,73.225297976799993
59,GENERAL PHYSICIAN,NO TENSION CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.178200788900000,73.228360104299995
60,VETERINARY,VETERINARY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.193608116299998,73.235934251600000
61,SPECIALIST,FIVE MART BEAUTY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.193214929200003,73.234981450299998
62,GENERAL PHYSICIAN,PROFESSOR DR ALAM ZAIB MANAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.195948392900000,73.236028310199998
63,GENERAL PHYSICIAN,DR TAHIR HAROON CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.196626795299998,73.236698913200001
64,GENERAL PHYSICIAN,AL-SAMI CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.198649870499999,73.237490206000004
65,GENERAL PHYSICIAN,QAZI CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.199153043700001,73.237798531500005
66,GENERAL PHYSICIAN,DOCTOR SARDAR AYUB CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.200476967500002,73.237766077399996
67,GENERAL PHYSICIAN,DR IRUM SARWAR CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202475124999999,73.238888557199999
68,GENERAL PHYSICIAN,PROFESSOR SURGEON ZIA-UL-REHMAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202892886400001,73.239117805899994
69,GENERAL PHYSICIAN,DR. ABDUL ISLAM ARIF CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203969953600001,73.239516522200006
70,GENERAL PHYSICIAN,CLINIC AL-BUKHARI,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203424279799997,73.239328013199994
71,GENERAL PHYSICIAN,FAISAL HASSAN AWAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.204034169700002,73.239513321100006
72,GENERAL PHYSICIAN,SABINA KHATTAK CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.206459936400002,73.240722555100007
73,GENERAL PHYSICIAN,RAQIYA SULTANIA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.199646901000001,73.237807606800004
74,HOMEOPATHIC,YOUSAF HOMEO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.199554327900003,73.237225421700003
75,GENERAL PHYSICIAN,DR MEHMOOD FAIZANI CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.199755543099997,73.237410322200006
76,DIAGNOSTIC CENTRE,NAYAB ULTRASOUND CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202842441800001,73.239096506500005
77,OPTICS,EYE SURGEON PROFESSOR DR JAFAR KHAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202680430500003,73.239110449199998
78,GENERAL PHYSICIAN,DR SAQIB MALIK CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202862654599997,73.239461333999998
79,GENERAL PHYSICIAN,MUFTI CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.207359586999999,73.239644346999995
80,HOMEOPATHIC,BABAR HOMEO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.207733841000000,73.240519554800002
81,GENERAL PHYSICIAN,DR SYED TAHIR HUSSAIN SHAH CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145256420400003,73.218249272700007
82,GENERAL PHYSICIAN,DR MOHAMMAD ALI RAZA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144234197999999,73.214964587799997
83,GENERAL PHYSICIAN,DR SHER AFZAL CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144077118299997,73.214810567200004
84,GENERAL PHYSICIAN,AL-REHMAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.141879435600003,73.213893775200006
85,GENERAL PHYSICIAN,SAJJAD CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.131647864300000,73.200598692800000
86,GENERAL PHYSICIAN,CARRY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146790521500002,73.209556297899994
87,GENERAL PHYSICIAN,DR RIAZ CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.148448791500002,73.211786866300002
88,HOMEOPATHIC,ISHFAQ HOMEOPATHIC CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144970971100001,73.217589105800002
89,HOMEOPATHIC,AL-HUDA HOMEOPATHIC CLINIC & STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144872727900001,73.217384238999998
90,GENERAL PHYSICIAN,DR SHEHZAD IQBAL CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144749598799997,73.216452598399997
91,GENERAL PHYSICIAN,DR BUSHRA KHAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146874710399999,73.221474661399995
92,GENERAL PHYSICIAN,DR SYED QASIM MEHMOOD SHAH CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146428219299999,73.221427155800001
93,GENERAL PHYSICIAN,NAVEED CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146255666999998,73.221213657099995
94,GENERAL PHYSICIAN,AHSAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.055040523899997,73.149830032400004
95,GENERAL PHYSICIAN,DR. HABIB-ULLAH CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.053446542800003,73.153450637600002
96,GENERAL PHYSICIAN,KHAN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.053321033200000,73.157137430500001
97,GENERAL PHYSICIAN,FAMILY HEALTH CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.050018919999999,73.140605162699998
98,GENERAL PHYSICIAN,SEEMA AKBAR CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.038904679100000,73.121223204900005
99,HOMEOPATHIC,AL-KAUSAR HOMEO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.230876534099998,73.240487589099999
100,GENERAL HOSPITALS,SARWAR SURGICAL & GENERAL HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.053920250099999,73.145894528300005
101,GENERAL HOSPITALS,AL-MARYAM HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.055795110699997,73.152805950000001
102,GENERAL HOSPITALS,ABBASI HOSPITAL NUMMAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.191785797599998,73.479501867600007
103,GENERAL HOSPITALS,ABBASI HOSPITAL TARCH,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.234286398199998,73.475883675800006
104,GENERAL HOSPITALS,REYALA HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.212996829600002,73.385860108599999
105,GENERAL HOSPITALS,BAKH CHRISTIAN HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.264000903300001,73.235937358000001
106,GENERAL HOSPITALS,MADINA TU SHIFA HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.263485647099998,73.235807913900004
107,GENERAL HOSPITALS,IQBAL GENERAL HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.270415755000002,73.235742813000002
108,MATERNITY HOME,FAREED HOSPITAL AND MATERNITY HOME,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.053586334000002,73.157400310900002
109,GENERAL HOSPITALS,EHSUN HOSPITAL AND SURGICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.205998497700001,73.240445441099993
110,GENERAL PHYSICIAN,JADON CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.118586180100003,73.350797327500004
111,CLINICAL LABORATORIES,CLINICAL LABORATORIES AGA KHAN,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.204835360700002,73.239827197699995
112,GENERAL HOSPITALS,CITI HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.969543061000003,73.388991177299999
113,GENERAL PHYSICIAN,MUSARAT CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.149035428200001,73.219726239899998
114,GENERAL PHYSICIAN,DR SOHAIL MALIK CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.147277817400003,73.222663226099996
115,MEDICAL STORES,NAZAKAT MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.250179600800003,73.237458416400003
116,MEDICAL STORES,QURESHI MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.265252951500003,73.236466815900002
117,MEDICAL STORES,WAQAS MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.264795124400003,73.235708739100005
118,MEDICAL STORES,FRONTIER MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.264481404700000,73.235793656599995
119,MEDICAL STORES,KHAN MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.205740472499997,73.240161014999998
120,MEDICAL STORES,FAIR MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.205926639499999,73.240236355299999
121,MEDICAL STORES,HASHMAT LATIF MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203457444700000,73.239275318200001
122,MEDICAL STORES,ALLAI BATAGRAM MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203350550800003,73.239219021899999
123,MEDICAL STORES,QURESHI MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203393578799997,73.239233790599997
124,MEDICAL STORES,WASIM MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203249217500002,73.239152898000000
125,MEDICAL STORES,MEHR MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203206428100003,73.239142643299999
126,MEDICAL STORES,THE LITE MEDICAL & ORTHOPEDIC STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203145595400002,73.239122508899996
127,MEDICAL STORES,RASHEED MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202823664400000,73.239014710999996
128,MEDICAL STORES,SHAHWANI MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202979291500000,73.239069923399995
129,MEDICAL STORES,BALAKOT MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.196141548600004,73.236567959100000
130,MEDICAL STORES,AZAM MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.196342515700003,73.236612188199999
131,MEDICAL STORES,AL-SHIFA MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.193511667000003,73.235060965000002
132,MEDICAL STORES,VENUS MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.158001187600000,73.253708999099999
133,MEDICAL STORES,AHMED MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.157548083700000,73.240947363399997
134,MEDICAL STORES,TAHIR MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.156985514200002,73.236096481700002
135,MEDICAL STORES,QURESHI MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.148089618500002,73.211997377499998
136,MEDICAL STORES,ABBASI MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146446258300003,73.215693615199996
137,MEDICAL STORES,SAEED MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146043297200002,73.215494149300000
138,MEDICAL STORES,RAJPUT BROTHERS MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145764717900001,73.215427550100003
139,MEDICAL STORES,KHURRAM MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144993534400001,73.215445739299994
140,MEDICAL STORES,ALI MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.071103777499999,73.491035376400006
141,MEDICAL STORES,NASEEM HEALTH CARE CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144817946600000,73.217986170200007
142,MEDICAL STORES,MEDICAL STORE BIROTE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.043790657400002,73.492696939300004
143,MEDICAL STORES,FRIENDS MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.043650196599998,73.492722157599999
144,GENERAL HOSPITALS,ROOHI HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145214573300002,73.218813466800000
145,BASIC HEALTH UNIT,BHU DHAMTOUR,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.138526178600003,73.280221964099994
146,GENERAL HOSPITALS,CIVIL HOSPITAL KHANISPUR (AYUBAI),ABBOTTABAD,KHYBER PAKHTUNKHWA,34.021765569199999,73.416610773900004
147,GENERAL HOSPITALS,PMA HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.187989336199998,73.260427123400007
148,BASIC HEALTH UNIT,BHU ZIARAT MASOOM,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.974539601300002,73.336718256400005
149,BASIC HEALTH UNIT,BHU SHEIKHUL BANDI,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.149632984500002,73.235659548800001
150,DISTRICT HEADQUARTER HOSPITAL,BENAZIR BHUTTO SHAHEED TEACHING HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145693314600003,73.221588517399994
151,CHILDREN HOSPITAL,WOMEN & CHILDREN'S HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145931342600001,73.214781766399994
152,GENERAL HOSPITALS,CMH ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.159372064099998,73.222117126399993
153,GENERAL HOSPITALS,CITY GENERAL HOSPITAL ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.200242932300000,73.237709847700003
154,GENERAL HOSPITALS,AYUB TEACHING HOSPITAL ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203894600900000,73.238027213099997
155,CHILDREN HOSPITAL,WOMEN & CHILDREN'S HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.205508750200003,73.238977528999996
156,GENERAL HOSPITALS,INSTITUTE OF NUCLEAR MEDICAL ONCOLOGY & RADIOTHERAPY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.206373710599998,73.238763459799998
157,BASIC HEALTH UNIT,BHU PANDO THANA,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.217147513800001,73.149119939299993
158,BASIC HEALTH UNIT,BHU HERLAIN,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.150396342100002,73.309573071100004
159,GENERAL HOSPITALS,GENRAL HOSPITAL ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.140109999600000,73.351509758299997
160,BASIC HEALTH UNIT,BHU PHAL KOT,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.148776651799999,73.374704061100005
161,GENERAL HOSPITALS,POF HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.036401150200000,73.114098392900004
162,GENERAL HOSPITALS,CMH FAMILY WING,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.158454021700003,73.219587136700000
163,DISPENSARY,DISPENSARY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.222956634299997,73.242359314500007
164,DISPENSARY,CANTT BOARD DISPENSARY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.148461805799997,73.215851057099997
165,BASIC HEALTH UNIT,BHU DALOLA,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.356637448800001,73.393568265200003
166,DISPENSARY,DISPENSARY BEGAN,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.301482970899997,73.382517356799994
167,DISPENSARY,DISPENSARY PLAIR,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.278199421300002,73.476668325399999
168,BASIC HEALTH UNIT,BHU KOKMANG,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.268739855299998,73.457673505599999
169,BASIC HEALTH UNIT,BHU SALOOL BANDI,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.260673985399997,73.432367176699998
170,BASIC HEALTH UNIT,BHU PATTAN KALAN,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.258224744600000,73.447590049400006
171,DISPENSARY,CIVIL DISPENSARY LAKHALA,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.179047794699997,73.008757553199999
172,BASIC HEALTH UNIT,BHU KANGAR BALA,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.212805828999997,73.021657917499994
173,DISPENSARY,DISPENSARY JARRAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.149667228600002,73.047566917799998
174,BASIC HEALTH UNIT,BHU TAKHTI AHMAD KHAN,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.247311874399998,73.047856213900005
175,GENERAL HOSPITALS,CIVIL HOSPITAL SHERWAN,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203393847800001,73.068345144299997
176,BASIC HEALTH UNIT,BHU NAGRI BALA,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.047143645799999,73.346897738300001
177,GENERAL HOSPITALS,CIVIL HOSPITAL NATHIA GALI,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.071524923200002,73.382229872099998
178,DISPENSARY,ESSI DISPENSARY HAVELIAN,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.054307791399999,73.149039713400001
179,GENERAL HOSPITALS,GOVT. HOSPITAL TARNAWAI,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.271227661600001,73.296169035700004
180,BASIC HEALTH UNIT,BHU MERA RUMAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.960069255999997,73.366872703100000
181,SUB-HEALTH CENTER,SHC SEER,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.966104047199998,73.339930409900006
182,BASIC HEALTH UNIT,BHU TAJWAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.986039453799997,73.350284161399998
183,DISPENSARY,CIVIL DISPENSARY CHANGLA GALI,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.980134828899999,73.406065746400003
184,BASIC HEALTH UNIT,BHU MALKOT,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.991079280699999,73.433008216299996
185,BASIC HEALTH UNIT,BHU BEROT KALAN,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.054048658900001,73.488939185899994
186,GENERAL HOSPITALS,CIVIL HOSPITAL ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.028023603599998,73.412097082200006
187,DISPENSARY,CIVIL DISPENSARY TOHEED ABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.041404209500001,73.384780077200006
188,DISPENSARY,CIVIL DISPENSARY NAGRI BALA,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.048163209700000,73.341712929400003
